variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable17,variable18,variable19,classLabel
b,"29,25",13,u,g,d,h,"0,5",f,f,0,f,g,228,0,2280000,NA,0,no.
b,35,3375,u,g,c,h,"8,29",f,f,0,t,g,0,0,0,f,0,no.
a,"22,67",0.0007,u,g,c,v,165,f,f,0,f,g,160,0,1600000,f,0,no.
b,"34,75",25,u,g,cc,bb,"0,5",f,f,0,f,g,348,0,3480000,f,0,no.
b,"20,67",529,u,g,q,v,375,t,t,1,f,g,160,0,1600000,t,0,no.
b,"22,08",1146,u,g,k,v,1585,f,f,0,t,g,100,1212,1000000,NA,0,no.
a,"20,75",954,u,g,i,v,"0,04",f,f,0,f,g,200,1000,2000000,NA,0,no.
b,"40,92",225,y,p,x,h,10,t,f,0,t,g,176,0,1760000,NA,0,no.
b,"23,42","5,85e-05",u,g,c,h,85,t,f,0,f,g,180,0,1800000,f,0,no.
a,"28,58",1665,u,g,q,v,2415,t,f,0,t,g,440,0,4400000,NA,0,no.
a,"15,83",7625,u,g,q,v,125,f,t,1,t,g,0,160,0,t,0,no.
a,"18,58",1,u,g,d,v,415,f,f,0,f,g,80,42,800000,f,0,no.
a,"36,58","2,9e-05",u,g,ff,ff,0,f,t,10,f,g,200,18,2000000,t,0,no.
NA,"45,33",0.0001,u,g,q,v,125,f,f,0,t,g,263,0,2630000,f,0,no.
b,"29,83",204,y,p,x,h,"0,04",f,f,0,f,g,128,1,1280000,f,0,no.
b,"29,83",35,u,g,c,v,165,f,f,0,f,g,216,0,2160000,NA,0,no.
b,"36,5",425,u,g,q,v,"3,5",f,f,0,f,g,454,50,4540000,f,0,no.
a,"22,25",125,y,p,ff,ff,"3,25",f,f,0,f,g,280,0,2800000,f,0,no.
b,"22,5","1,25e-05",y,p,k,v,125,f,f,0,f,g,200,70,2000000,NA,0,no.
b,"27,67","7,5e-05",u,g,q,h,165,f,f,0,t,g,220,251,2200000,NA,0,no.
b,"40,92","8,35e-05",u,g,ff,ff,0,t,f,0,f,g,130,1,1300000,NA,0,no.
b,"62,5",1275,y,p,c,h,5,t,f,0,f,g,112,0,1120000,f,0,no.
a,"29,58",175,y,p,k,v,"1,25",f,f,0,t,g,280,0,2800000,NA,0,no.
b,"18,58",1029,u,g,ff,ff,415,f,f,0,f,g,80,0,800000,f,0,no.
b,"39,58",0.0005,u,g,ff,ff,0,f,t,2,f,g,17,1,170000,NA,0,no.
b,"24,58",125,u,g,W,v,875,t,f,0,t,g,260,0,2600000,f,0,no.
b,"38,17",10125,u,g,x,v,"2,5",t,t,6,f,g,520,196,5200000,t,1,yes.
b,27,15,y,p,W,v,375,t,f,0,t,g,260,1065,2600000,NA,1,yes.
b,"41,17",404,u,g,cc,h,7,t,t,8,f,g,320,0,3200000,t,1,yes.
a,"65,17",14,u,g,ff,ff,0,t,t,11,t,g,0,1400,0,NA,1,yes.
b,"37,58",0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,NA,1,yes.
b,"23,25",15,u,g,q,v,2375,t,t,3,t,g,0,582,0,NA,1,yes.
b,"21,83",11,u,g,x,v,"0,29",t,t,6,f,g,121,0,1210000,NA,1,yes.
b,26,0.0001,u,g,q,v,"1,75",t,f,0,t,g,280,0,2800000,NA,1,yes.
b,"31,67","8,3e-05",u,g,x,v,1335,t,t,8,t,g,303,3290,3030000,t,1,yes.
a,"49,83",13585,u,g,k,h,"8,5",t,f,0,t,g,0,0,0,NA,1,yes.
a,"47,42",0.0008,u,g,e,bb,"6,5",t,t,6,f,g,375,51100,3750000,t,1,yes.
b,"51,33",1,u,g,i,bb,0,t,t,11,f,g,0,1249,0,NA,1,yes.
a,"18,92",0.0009,u,g,aa,v,"0,75",t,t,2,f,g,88,591,880000,NA,1,yes.
a,"28,42",35,u,g,W,v,835,t,f,0,f,s,280,0,2800000,f,1,yes.
b,"56,75",1225,u,g,m,v,"1,25",t,t,4,t,g,200,0,2000000,NA,1,yes.
a,"58,42",21,u,g,i,bb,10,t,t,13,f,g,0,6700,0,NA,1,yes.
b,"48,33",12,u,g,m,v,16,t,f,0,f,s,110,0,1100000,f,1,yes.
b,"33,17",0.0001,u,g,x,v,"0,75",t,t,7,t,g,340,4071,3400000,NA,1,yes.
a,"22,42",5665,u,g,q,v,2585,t,t,7,f,g,129,3257,1290000,t,1,yes.
a,"18,83",954,u,g,aa,v,85,t,f,0,f,g,100,0,1000000,NA,1,yes.
b,"48,58","2,05e-05",y,p,k,v,"0,25",t,t,11,f,g,380,2732,3800000,NA,1,yes.
b,"26,75",1125,u,g,x,h,"1,25",t,f,0,f,g,0,5298,0,f,1,yes.
b,"64,08",2,u,g,x,h,"17,5",t,t,9,t,g,0,1000,0,t,1,yes.
b,"20,17",925,u,g,c,v,1665,t,t,3,t,g,40,28,400000,NA,1,yes.
b,"25,67",125,u,g,cc,v,"1,21",t,t,67,t,g,140,258,1400000,NA,1,yes.
b,"22,67",105,u,g,q,h,1335,t,f,0,f,g,100,0,1000000,NA,1,yes.
b,"31,33",195,u,g,c,v,7,t,t,16,f,g,0,5000,0,t,1,yes.
b,"56,42",28,y,p,c,v,"28,5",t,t,40,f,g,0,15,0,t,1,yes.
a,"24,75",125,u,g,aa,v,"1,5",t,t,12,t,g,120,567,1200000,NA,1,yes.
a,"24,08",0.00005,u,g,q,h,"1,25",t,t,1,f,g,0,678,0,NA,1,yes.
b,"28,33",0.0005,u,g,W,v,11,t,f,0,t,g,70,0,700000,f,1,yes.
a,"19,5","1,65e-05",u,g,q,v,"0,04",f,f,0,t,g,380,0,3800000,NA,0,no.
b,"34,08",65,u,g,aa,v,125,t,f,0,t,g,443,0,4430000,f,0,no.
b,"52,42",15,u,g,d,v,"3,75",f,f,0,t,g,0,350,0,f,0,no.
b,"37,5",175,y,p,c,bb,"0,25",t,f,0,t,g,164,400,1640000,f,0,no.
b,"21,42","7,5e-05",y,p,r,n,"0,75",f,f,0,t,g,132,2,1320000,f,0,no.
a,"20,83",0.00005,y,p,e,dd,1,f,f,0,f,g,260,0,2600000,f,0,no.
b,"31,83",0.000004,y,p,m,v,"0,04",f,f,0,f,g,0,0,0,NA,0,no.
b,"42,83",125,u,g,m,v,13875,f,t,1,t,g,352,112,3520000,t,0,no.
b,"32,25",14,y,p,ff,ff,0,f,t,2,f,g,160,1,1600000,t,0,no.
b,"40,92",0.00005,y,p,m,v,"0,5",f,f,0,t,g,130,0,1300000,NA,0,no.
a,"25,25",135,y,p,ff,ff,2,f,t,1,t,g,200,1,2000000,NA,0,no.
b,"23,58","8,35e-05",u,g,i,h,85,f,f,0,t,g,220,5,2200000,NA,0,no.
b,"38,42","7,05e-05",u,g,c,v,375,f,t,2,f,g,225,500,2250000,NA,0,no.
a,"23,58","8,3e-05",u,g,q,v,415,f,t,1,t,g,200,11,2000000,NA,0,no.
b,20,0.0007,u,g,c,v,"0,5",f,f,0,f,g,0,0,0,f,0,no.
a,"20,08",125,u,g,c,v,0,f,f,0,f,g,0,0,0,NA,0,no.
b,"24,08","8,75e-05",u,g,m,v,85,f,t,4,f,g,254,1950,2540000,t,0,no.
b,NA,"6,25e-05",u,g,k,v,"0,25",f,f,0,f,g,380,2010,3800000,NA,0,no.
b,"24,42",0.0002,u,g,e,dd,165,f,t,2,f,g,320,1300,3200000,t,0,no.
b,"23,08",0,u,g,k,v,1,f,t,11,f,s,0,0,0,t,0,no.
b,19,0,y,p,ff,ff,0,f,t,4,f,g,45,1,450000,NA,0,no.
b,"34,08",25,u,g,c,v,1,f,f,0,f,g,460,16,4600000,NA,0,no.
b,"30,08",104,y,p,i,bb,"0,5",t,t,10,t,g,132,28,1320000,t,0,no.
b,"27,83",0.0004,y,p,i,h,"5,75",t,t,2,t,g,75,0,750000,t,0,no.
b,"47,33",65,u,g,c,v,1,f,f,0,t,g,0,228,0,NA,0,no.
b,"20,67",125,y,p,c,h,1375,t,t,3,t,g,140,210,1400000,NA,0,no.
a,"25,42",1125,u,g,q,v,"1,29",t,t,2,f,g,200,0,2000000,NA,0,no.
b,"28,67",145,u,g,d,v,125,f,f,0,f,g,0,286,0,NA,0,no.
a,"41,58",104,u,g,aa,v,665,f,f,0,f,g,240,237,2400000,f,0,no.
a,"20,83",85,u,g,c,v,165,f,f,0,f,g,0,351,0,NA,0,no.
b,"42,75",0.0003,u,g,i,bb,1,t,f,0,f,g,0,200,0,f,0,no.
b,"33,58","2,5e-05",u,g,i,bb,4,f,f,0,t,s,420,0,4200000,NA,0,no.
b,"20,42",1085,u,g,q,v,"1,5",f,f,0,f,g,108,7,1080000,NA,0,no.
b,"22,5",115,y,p,m,v,"1,5",f,f,0,t,g,0,4000,0,f,0,no.
b,"38,92",175,u,g,k,v,"0,5",f,f,0,t,g,300,2,3000000,NA,0,no.
b,"26,83","5,4e-05",u,g,k,ff,0,f,f,0,f,g,100,0,1000000,f,0,no.
b,"17,92","2,05e-05",u,g,aa,v,"0,04",f,f,0,f,g,280,750,2800000,f,0,no.
b,"25,42","5,4e-05",u,g,W,v,165,f,t,1,f,g,272,444,2720000,t,0,no.
a,"26,92",135,u,g,q,h,5,t,t,2,f,g,0,5000,0,NA,1,yes.
b,"27,67",1375,u,g,W,v,"5,75",t,f,0,t,g,487,500,4870000,NA,1,yes.
b,"38,67","2,1e-05",u,g,k,v,85,t,f,0,t,g,280,0,2800000,f,1,yes.
a,"32,17",146,u,g,W,v,1085,t,t,16,f,g,120,2079,1200000,NA,1,yes.
b,"32,67",55,u,g,q,h,"5,5",t,t,12,t,g,408,1000,4080000,t,1,yes.
b,"48,75",85,u,g,c,h,"12,5",t,t,9,f,g,181,1655,1810000,t,1,yes.
b,21,479,y,p,W,v,"2,25",t,t,1,t,g,80,300,800000,NA,1,yes.
b,"48,17",7625,u,g,W,h,"15,5",t,t,12,f,g,0,790,0,NA,1,yes.
b,"39,33",5875,u,g,cc,h,10,t,t,14,t,g,399,0,3990000,t,1,yes.
a,"25,08",254,y,p,aa,v,"0,25",t,f,0,t,g,370,0,3700000,NA,1,yes.
b,"23,25",0.0004,u,g,c,bb,"0,25",t,f,0,t,g,160,0,1600000,NA,1,yes.
a,"30,67",12,u,g,c,v,2,t,t,1,f,g,220,19,2200000,NA,1,yes.
b,"19,17",0,y,p,m,bb,0,f,f,0,t,s,500,1,5000000,NA,1,yes.
NA,"20,08","1,25e-05",u,g,q,v,1,f,t,1,f,g,240,768,2400000,t,1,yes.
b,"36,67",325,u,g,q,h,9,t,f,0,t,g,102,639,1020000,NA,1,yes.
b,"23,17",11125,u,g,x,h,"0,46",t,t,1,f,g,100,0,1000000,t,1,yes.
a,"15,83","5,85e-05",u,g,c,h,"1,5",t,t,2,f,g,100,0,1000000,t,1,yes.
b,"16,08","7,5e-05",u,g,c,v,"1,75",t,t,5,t,g,352,690,3520000,t,1,yes.
a,47,13,u,g,i,bb,5165,t,t,9,t,g,0,0,0,t,1,yes.
a,"71,58",0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,NA,1,yes.
a,"21,25",2335,u,g,i,bb,"0,5",t,t,4,f,s,80,0,800000,NA,1,yes.
b,"65,42",11,u,g,e,z,20,t,t,7,t,g,22,0,220000,NA,1,yes.
b,"20,5",2415,u,g,c,v,2,t,t,11,t,g,200,3000,2000000,NA,1,yes.
b,"55,92",115,u,g,ff,ff,5,t,t,5,f,g,0,8851,0,NA,1,yes.
b,"34,92",25,u,g,W,v,0,t,f,0,t,g,239,200,2390000,f,1,yes.
b,"56,58",185,u,g,d,bb,15,t,t,17,t,g,0,0,0,t,1,yes.
b,"25,17",0.0006,u,g,c,v,1,t,t,3,f,g,0,0,0,NA,1,yes.
b,"25,08",171,u,g,x,v,1665,t,t,1,t,g,395,20,3950000,NA,1,yes.
b,"57,83",704,u,g,m,v,14,t,t,6,t,g,360,1332,3600000,NA,1,yes.
b,"34,92",0.0005,u,g,x,h,"7,5",t,t,6,t,g,0,1000,0,NA,1,yes.
b,"33,58",275,u,g,m,v,"4,25",t,t,6,f,g,204,0,2040000,NA,1,yes.
a,"35,17",375,u,g,ff,ff,0,f,t,6,f,g,0,200,0,t,0,no.
b,"32,42",0.0003,u,g,d,v,165,f,f,0,t,g,120,0,1200000,f,0,no.
b,"34,25",175,u,g,W,bb,"0,25",t,f,0,t,g,163,0,1630000,NA,0,no.
a,"17,67",0,y,p,j,ff,0,f,f,0,f,g,86,0,860000,f,0,no.
b,"21,92",0.00005,u,g,c,v,125,f,f,0,f,g,360,0,3600000,NA,0,no.
a,NA,1125,u,g,ff,ff,0,f,f,0,f,g,NA,5200,NA,f,0,no.
b,"19,5","2,9e-05",u,g,k,v,"0,29",f,f,0,f,g,280,364,2800000,NA,0,no.
NA,"29,5",0.0002,y,p,e,h,2,f,f,0,f,g,256,17,2560000,NA,0,no.
b,"41,17",125,y,p,W,v,"0,25",f,f,0,f,g,0,195,0,f,0,no.
a,"37,33",25,u,g,i,h,"0,21",f,f,0,f,g,260,246,2600000,NA,0,no.
b,"18,08",675,y,p,m,v,"0,04",f,f,0,f,g,140,0,1400000,NA,0,no.
b,"32,33",25,u,g,c,v,"1,25",f,f,0,t,g,280,0,2800000,f,0,no.
a,"23,75","7,1e-05",u,g,W,v,"0,25",f,t,1,t,g,240,4,2400000,t,0,no.
b,"23,5",3165,y,p,k,v,415,f,t,1,t,g,280,80,2800000,NA,0,no.
b,"21,17","2,5e-05",y,p,c,h,"0,25",f,f,0,f,g,280,204,2800000,NA,0,no.
b,"36,17",18125,u,g,W,v,85,f,f,0,f,g,320,3552,3200000,NA,0,no.
a,"27,25","2,9e-05",u,g,m,h,125,f,t,1,t,g,272,108,2720000,t,0,no.
b,"18,67",0.0005,u,g,q,v,375,t,t,2,f,g,0,38,0,t,0,no.
b,22,7835,y,p,i,bb,165,f,f,0,t,g,NA,0,NA,f,0,no.
b,"30,75",1585,u,g,d,v,585,f,f,0,t,s,0,0,0,f,0,no.
b,"30,58",271,y,p,m,v,125,f,f,0,t,s,80,0,800000,f,0,no.
b,"43,17",0.0005,u,g,i,bb,"2,25",f,f,0,t,g,141,0,1410000,NA,0,no.
b,"29,17",35,u,g,W,v,"3,5",t,t,3,t,g,329,0,3290000,NA,0,no.
b,"19,67",1,y,p,k,h,835,t,f,0,t,g,140,0,1400000,NA,0,no.
a,"36,75",471,u,g,ff,ff,0,f,f,0,f,g,160,0,1600000,NA,0,no.
b,"29,42",125,u,g,c,h,"0,25",f,t,2,t,g,400,108,4000000,NA,0,no.
b,"42,75",4085,u,g,aa,v,"0,04",f,f,0,f,g,108,100,1080000,NA,0,no.
b,"25,83",12835,u,g,cc,v,"0,5",f,f,0,f,g,0,2,0,f,0,no.
b,"23,75",12,u,g,c,v,2085,f,f,0,f,s,80,0,800000,f,0,no.
a,"26,58",254,y,p,ff,ff,0,f,f,0,t,g,180,60,1800000,f,0,no.
b,"20,67","4,15e-05",u,g,c,v,125,f,f,0,f,g,0,44,0,NA,0,no.
b,"30,33",0.00005,u,g,d,h,85,f,f,0,t,s,252,0,2520000,f,0,no.
b,"21,08",4125,y,p,i,h,"0,04",f,f,0,f,g,140,100,1400000,NA,0,no.
b,"17,08",329,u,g,i,v,335,f,f,0,t,g,140,2,1400000,f,0,no.
b,"26,25",154,u,g,W,v,125,f,f,0,f,g,100,0,1000000,NA,0,no.
b,"30,17",1085,y,p,c,v,"0,04",f,f,0,f,g,170,179,1700000,f,0,no.
a,"57,08","3,35e-05",u,g,i,bb,1,t,f,0,t,g,252,2197,2520000,NA,0,no.
b,"39,92",0.0005,u,g,i,bb,"0,21",f,f,0,f,g,550,0,5500000,f,0,no.
a,"22,92",11585,u,g,cc,v,"0,04",t,f,0,f,g,80,1349,800000,NA,1,yes.
a,"24,5",0.00005,u,g,q,h,"1,5",t,f,0,f,g,280,824,2800000,NA,1,yes.
b,"20,25",996,u,g,e,dd,0,t,f,0,f,g,0,0,0,NA,1,yes.
b,"18,5",0.0002,u,g,i,v,"1,5",t,t,2,f,g,120,300,1200000,NA,1,yes.
b,"25,17",35,u,g,cc,v,625,t,t,7,f,g,0,7059,0,t,1,yes.
b,"44,33",0.00005,u,g,i,h,5,t,f,0,t,g,320,0,3200000,NA,1,yes.
b,"18,08",55,u,g,k,v,"0,5",t,f,0,f,g,80,0,800000,NA,1,yes.
a,"60,58",165,u,g,q,v,11,t,f,0,t,g,21,10561,210000,NA,1,yes.
b,"41,5",154,u,g,i,bb,"3,5",f,f,0,f,g,216,0,2160000,NA,1,yes.
a,"25,75",0.00005,u,g,c,h,875,t,f,0,t,g,491,0,4910000,NA,1,yes.
b,"29,25",1479,u,g,aa,v,"5,04",t,t,5,t,g,168,0,1680000,t,1,yes.
a,36,0.0001,u,g,c,v,2,t,t,11,f,g,0,456,0,t,1,yes.
b,"31,67",16165,u,g,d,v,3,t,t,9,f,g,250,730,2500000,t,1,yes.
b,"60,08",145,u,g,ff,ff,18,t,t,15,t,g,0,1000,0,t,1,yes.
b,"22,33",11,u,g,W,v,2,t,t,1,f,g,80,278,800000,NA,1,yes.
b,40,65,u,g,aa,bb,"3,5",t,t,1,f,g,0,500,0,NA,1,yes.
b,"35,17",25125,u,g,x,h,1625,t,t,1,t,g,515,500,5150000,NA,1,yes.
b,"41,33",0,u,g,c,bb,15,t,f,0,f,g,0,0,0,NA,1,yes.
a,"20,75",10335,u,g,cc,h,335,t,t,1,t,g,80,50,800000,t,1,yes.
b,"32,08",0.0004,u,g,m,v,"2,5",t,f,0,t,g,360,0,3600000,NA,1,yes.
b,NA,0.0004,u,g,x,v,5,t,t,3,t,g,290,2279,2900000,t,1,yes.
b,"23,92",15,u,g,d,h,1875,t,t,6,f,g,200,327,2000000,t,1,yes.
a,"23,25",5875,u,g,q,v,"3,17",t,t,10,f,g,120,245,1200000,NA,1,yes.
a,"46,67","4,6e-05",u,g,cc,h,415,t,t,11,t,g,440,6,4400000,NA,1,yes.
a,25,1233,u,g,cc,h,"3,5",t,t,6,f,g,400,458,4000000,t,1,yes.
b,"25,5","3,75e-05",u,g,m,v,"0,25",t,t,3,f,g,260,15108,2600000,t,1,yes.
a,"18,75",75,u,g,q,v,"2,71",t,t,5,f,g,NA,26726,NA,t,1,yes.
a,"23,5",0.0009,u,g,q,v,"8,5",t,t,5,t,g,120,0,1200000,t,1,yes.
b,"34,17",917,u,g,c,v,"4,5",t,t,12,t,g,0,221,0,NA,1,yes.
b,"27,83",154,u,g,W,v,"3,75",t,t,5,t,g,100,3,1000000,NA,1,yes.
a,"36,75",5125,u,g,e,v,5,t,f,0,t,g,0,4000,0,f,1,yes.
b,20,11045,u,g,c,v,2,f,f,0,t,g,136,0,1360000,NA,0,no.
a,"22,67","3,35e-05",u,g,q,v,"0,75",f,f,0,f,s,160,0,1600000,NA,0,no.
b,"80,25",55,u,g,NA,NA,"0,54",t,f,0,f,g,0,340,0,NA,0,no.
b,"34,83",25,y,p,W,v,3,f,f,0,f,s,200,0,2000000,f,0,no.
a,"55,75",708,u,g,k,h,"6,75",t,t,3,t,g,100,50,1000000,NA,0,no.
b,"22,17",12125,u,g,c,v,3335,f,t,2,t,g,180,173,1800000,NA,0,no.
b,"62,75",0.0007,u,g,e,z,0,f,f,0,f,g,0,12,0,NA,0,no.
a,"47,25","7,5e-05",u,g,q,h,"2,75",t,t,1,f,g,333,892,3330000,NA,1,yes.
a,"33,67","3,75e-05",u,g,cc,v,375,f,f,0,f,g,300,44,3000000,NA,1,yes.
b,45,85,u,g,cc,h,14,t,t,1,t,g,88,2000,880000,t,1,yes.
b,"33,17",104,u,g,r,h,"6,5",t,f,0,t,g,164,31285,1640000,NA,1,yes.
a,25,"8,75e-05",u,g,x,h,"1,04",t,f,0,t,g,160,5860,1600000,f,1,yes.
b,"26,67",175,y,p,c,v,1,t,t,5,t,g,160,5777,1600000,NA,1,yes.
b,"48,5",425,u,g,m,v,125,t,f,0,t,g,225,0,2250000,NA,1,yes.
b,"37,42",204,u,g,W,v,"0,04",t,f,0,t,g,400,5800,4000000,NA,1,yes.
b,18,"1,65e-05",u,g,q,n,"0,21",f,f,0,f,g,200,40,2000000,f,1,yes.
a,"56,5",16,u,g,j,ff,0,t,t,15,f,g,0,247,0,t,1,yes.
b,"25,75",0.00005,u,g,c,v,"1,46",t,t,5,t,g,312,0,3120000,t,1,yes.
a,"22,58",1075,u,g,q,v,415,t,t,5,t,g,0,560,0,NA,1,yes.
b,"33,17",304,y,p,c,h,"2,04",t,t,1,t,g,180,18027,1800000,t,1,yes.
b,32,175,y,p,e,h,"0,04",t,f,0,t,g,393,0,3930000,NA,1,yes.
a,"40,83",1,u,g,q,h,"1,75",t,f,0,f,g,29,837,290000,NA,1,yes.
b,"59,67",154,u,g,q,v,125,t,f,0,t,g,260,0,2600000,f,1,yes.
b,"42,5",4915,y,p,W,v,3165,t,f,0,t,g,52,1442,520000,NA,1,yes.
a,"28,08",15,y,p,e,z,0,t,f,0,f,g,0,13212,0,NA,1,yes.
a,"37,75",55,u,g,q,v,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,"53,92",9625,u,g,e,v,8665,t,t,5,f,g,0,0,0,NA,1,yes.
b,"47,67","2,9e-05",u,g,c,bb,15,t,t,20,f,g,0,15000,0,t,1,yes.
b,"23,25",0.0001,u,g,c,v,835,t,f,0,f,s,300,0,3000000,f,1,yes.
b,"22,67",254,y,p,c,h,2585,t,f,0,f,g,0,0,0,f,1,yes.
b,"54,58",9415,u,g,ff,ff,14415,t,t,11,t,g,30,300,300000,NA,1,yes.
b,"34,25",0.0003,u,g,cc,h,7415,t,f,0,t,g,0,0,0,NA,1,yes.
b,"27,58",204,y,p,aa,v,2,t,t,3,t,g,370,560,3700000,NA,1,yes.
a,46,0.0004,u,g,j,j,0,t,f,0,f,g,100,960,1000000,NA,1,yes.
a,"60,92",0.0005,u,g,aa,v,4,t,t,4,f,g,0,99,0,t,1,yes.
a,"47,42",0.0003,u,g,x,v,13875,t,t,2,t,g,519,1704,5190000,NA,1,yes.
b,"37,33",65,u,g,m,h,"4,25",t,t,12,t,g,93,0,930000,NA,1,yes.
a,"25,58",0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,NA,1,yes.
a,"20,42","8,35e-05",u,g,q,v,1585,t,t,1,f,g,0,0,0,t,1,yes.
a,"44,17",6665,u,g,q,v,7375,t,t,3,t,g,0,0,0,t,1,yes.
b,"34,75",15,u,g,r,n,5375,t,t,9,t,g,0,134,0,NA,1,yes.
b,"20,5",1,y,p,c,v,"2,5",t,f,0,f,s,40,0,400000,NA,1,yes.
b,"22,67","1,65e-05",u,g,c,j,"2,25",f,f,0,t,s,0,0,0,NA,1,yes.
b,"22,08","8,3e-05",u,g,c,h,2165,f,f,0,t,g,128,0,1280000,NA,1,yes.
b,"42,83",4625,u,g,q,v,"4,58",t,f,0,f,s,0,0,0,NA,1,yes.
a,"18,92",925,y,p,c,v,1,t,t,4,t,g,80,500,800000,t,1,yes.
a,"20,67",0.0003,u,g,q,v,165,t,t,3,f,g,100,6,1000000,NA,1,yes.
a,"32,33","5,4e-05",u,g,cc,v,"0,04",t,f,0,f,g,440,11177,4400000,f,1,yes.
b,"28,92",15,u,g,c,h,5335,t,t,11,f,g,0,2283,0,NA,1,yes.
a,"52,83",15,u,g,c,v,"5,5",t,t,14,f,g,0,2200,0,NA,1,yes.
a,"20,67",1835,u,g,q,v,2085,t,t,5,f,g,220,2503,2200000,NA,1,yes.
b,"36,25",0.0005,u,g,c,bb,"2,5",t,t,6,f,g,0,367,0,NA,1,yes.
a,"20,33",1,u,g,c,h,1,t,t,4,f,g,50,1465,500000,NA,1,yes.
b,"25,75","7,5e-05",u,g,c,bb,"0,25",t,f,0,f,g,349,23,3490000,f,1,yes.
a,"28,17","3,75e-05",u,g,q,v,585,t,t,4,f,g,80,0,800000,t,1,yes.
b,"23,92","6,65e-05",u,g,c,v,165,f,f,0,f,g,100,0,1000000,NA,1,yes.
b,56,125,u,g,k,h,8,t,f,0,t,g,24,2028,240000,NA,1,yes.
a,"20,75",1025,u,g,q,v,"0,71",t,t,2,t,g,49,0,490000,t,1,yes.
a,"30,5",65,u,g,c,bb,4,t,t,7,t,g,0,3065,0,t,1,yes.
a,"45,83",105,u,g,q,v,5,t,t,7,t,g,0,0,0,t,1,yes.
b,39,0.0005,u,g,cc,v,"3,5",t,t,10,t,g,0,0,0,t,1,yes.
b,"22,08",11,u,g,cc,v,665,t,f,0,f,g,100,0,1000000,NA,1,yes.
b,"28,25",5125,u,g,x,v,"4,75",t,t,2,f,g,420,7,4200000,NA,1,yes.
a,"18,83",4415,y,p,c,h,3,t,f,0,f,g,240,0,2400000,f,1,yes.
a,"28,67",104,u,g,c,v,"2,5",t,t,5,t,g,300,1430,3000000,NA,1,yes.
a,"22,5",846,y,p,x,v,"2,46",f,f,0,f,g,164,0,1640000,f,1,yes.
b,NA,105,u,g,x,v,"6,5",t,f,0,f,g,0,0,0,f,1,yes.
a,"28,5",304,y,p,x,h,"2,54",t,t,1,f,g,70,0,700000,NA,1,yes.
b,"19,17",95,u,g,W,v,"1,5",t,f,0,f,g,120,2206,1200000,NA,1,yes.
a,"21,5",0.0006,u,g,aa,v,"2,5",t,t,3,f,g,80,918,800000,t,1,yes.
b,"17,5",22,l,gg,ff,o,0,f,f,0,t,p,450,100000,4500000,f,1,yes.
b,"26,67",271,y,p,cc,v,"5,25",t,t,1,f,g,211,0,2110000,NA,1,yes.
b,"34,42",425,u,g,i,bb,"3,25",t,t,2,f,g,274,610,2740000,t,1,yes.
b,"73,42",1775,u,g,ff,ff,0,t,f,0,t,g,0,0,0,f,1,yes.
a,23,1175,u,g,x,h,"0,5",t,t,2,t,g,300,551,3000000,NA,1,yes.
b,"23,08",25,u,g,c,v,1085,t,t,11,t,g,60,2184,600000,NA,1,yes.
b,"19,42",65,u,g,W,h,"1,46",t,t,7,f,g,80,2954,800000,t,1,yes.
b,"23,33",11625,y,p,W,v,835,t,f,0,t,g,160,300,1600000,NA,1,yes.
b,"42,17",504,u,g,q,h,"12,75",t,f,0,t,g,92,0,920000,NA,1,yes.
b,"21,25",15,u,g,W,v,"1,5",f,f,0,f,g,150,8,1500000,NA,1,yes.
b,"34,17",525,u,g,W,v,85,f,f,0,t,g,290,6,2900000,NA,1,yes.
a,"47,75",0.0008,u,g,c,v,7875,t,t,6,t,g,0,1260,0,t,1,yes.
a,"44,33",0,u,g,c,v,"2,5",t,f,0,f,g,0,0,0,NA,1,yes.
b,"39,5",425,u,g,c,bb,"6,5",t,t,16,f,g,117,1210,1170000,t,1,yes.
a,"41,17",65,u,g,q,v,"0,5",t,t,3,t,g,145,0,1450000,NA,1,yes.
b,"29,92",1835,u,g,c,h,4335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,"23,17",0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,f,1,yes.
b,"35,17",25,u,g,k,v,"4,5",t,t,7,f,g,150,1270,1500000,t,1,yes.
a,"19,17",8585,u,g,cc,h,"0,75",t,t,7,f,g,96,0,960000,NA,1,yes.
b,"52,5",65,u,g,k,v,"6,29",t,t,15,f,g,0,11202,0,t,1,yes.
b,"39,92",621,u,g,q,v,"0,04",t,t,1,f,g,200,300,2000000,t,1,yes.
b,"21,33",105,u,g,c,v,3,t,f,0,t,g,0,0,0,NA,1,yes.
a,"35,75","9,15e-05",u,g,aa,v,"0,75",t,t,4,f,g,0,1583,0,t,1,yes.
b,"67,75",55,u,g,e,z,13,t,t,1,t,g,0,0,0,t,1,yes.
b,"32,67",0.0009,y,p,W,h,"5,25",t,f,0,t,g,154,0,1540000,f,1,yes.
b,"49,5",7585,u,g,i,bb,7585,t,t,15,t,g,0,5000,0,t,1,yes.
